Genre,Budget,Marketing_Budget,Screens,Weeks,Shows,Ticket_Price,Screen_Stability,Actor_Popularity,Director_Success,Occupancy,Seats_Per_Screen,Target
Action,108,35,8745,10,8,118,Growing,7,4,0.36120267490041613,221,1
Western,386,41,7679,3,4,424,Stable,5,8,0.7904084888221099,208,0
Thriller,317,179,5455,2,8,192,Growing,9,6,0.781531161587091,224,1
Horror,78,95,18469,8,4,116,Drop Fast,3,9,0.348957463157449,128,0
Romance,256,118,26594,7,3,722,Drop Fast,9,8,0.2716920607754758,165,1
Action,270,132,5262,4,11,587,Growing,5,8,0.7296973553485155,223,0
Sci-Fi,285,179,7266,2,5,193,Stable,2,7,0.8486972482700842,214,0
Action,88,126,10912,6,11,109,Stable,9,1,0.7778753868571275,222,1
Horror,155,73,16191,11,4,627,Stable,1,5,0.3919592864305547,194,0
Comedy,120,190,28784,5,13,588,Growing,1,7,0.6586375280577349,100,0
Mystery,267,40,3222,6,8,243,Drop Fast,7,9,0.7801560044378788,145,0
Sci-Fi,102,36,27360,2,13,653,Growing,3,4,0.42908009318292767,168,0
Mystery,22,68,21849,2,13,614,Drop Fast,8,8,0.6194045609586171,217,1
Action,269,174,1747,6,2,569,Stable,7,1,0.47012228278163914,131,0
Romance,435,52,12410,7,7,476,Stable,7,4,0.4079027921289148,237,0
History,118,85,4404,6,3,767,Drop Fast,1,4,0.9287125287395968,113,0
Animation,339,162,7790,3,9,593,Stable,1,2,0.8888073722708484,173,0
Horror,198,153,1568,10,6,784,Growing,2,3,0.5619674116660409,165,0
History,104,64,11729,6,4,583,Drop Fast,2,3,0.34574464274478345,144,0
Western,114,145,18341,6,11,551,Stable,5,9,0.759535112324454,139,1
Animation,17,5,16145,11,8,635,Stable,9,7,0.4289907910897542,215,1
Fantasy,76,69,29865,10,12,174,Stable,7,2,0.36796246408666616,154,1
Sci-Fi,200,37,9909,4,3,139,Stable,2,9,0.5170703124167292,148,0
Animation,375,42,13844,6,6,401,Drop Fast,5,8,0.6208948664167173,124,0
Horror,265,29,5117,6,12,651,Drop Fast,5,6,0.31820823087429023,128,0
Biography,18,158,20068,3,9,161,Stable,8,6,0.6502225311339686,141,0
History,487,63,12077,5,14,602,Growing,9,2,0.26074386233383506,246,0
Comedy,126,165,13424,3,12,344,Growing,8,3,0.8743083424151606,228,1
Documentary,276,105,3252,6,2,117,Growing,2,6,0.8945191824952066,200,0
Documentary,108,131,27472,11,2,751,Growing,4,3,0.7631495414582959,132,1
Horror,494,45,8582,3,4,497,Drop Fast,2,7,0.5765845860019243,176,0
Horror,307,162,17516,11,4,693,Drop Fast,6,5,0.42842738939431785,200,1
Crime,406,61,20821,10,14,288,Growing,4,4,0.7708784634979775,235,1
Sci-Fi,173,181,7440,11,8,719,Drop Fast,7,8,0.9022580413664445,132,1
Western,385,52,3438,7,7,203,Growing,2,2,0.3609735934282077,88,0
Crime,150,76,10607,9,8,745,Stable,9,3,0.5760753925083886,154,0
Mystery,277,181,765,10,5,443,Stable,5,4,0.4706831452251497,183,0
Fantasy,46,179,21962,9,12,470,Growing,1,6,0.49971925233213693,172,1
Romance,83,60,5758,6,3,132,Drop Fast,3,5,0.5340304469260527,203,0
Romance,82,69,16575,6,3,473,Growing,4,5,0.9162574410599369,201,1
Fantasy,317,16,25910,7,11,277,Drop Fast,3,7,0.4310460175076656,140,1
Animation,208,73,17327,2,2,111,Stable,6,8,0.5948730873654546,234,0
War,139,138,25448,9,14,555,Drop Fast,6,6,0.9160412301632532,203,1
Crime,255,93,11303,3,10,742,Growing,7,3,0.5832398231528221,229,0
Biography,321,197,15374,7,8,348,Stable,9,4,0.8545196653450173,174,1
History,69,29,8922,10,11,547,Stable,9,1,0.29113534202769664,109,0
Fantasy,288,5,21993,4,4,669,Drop Fast,7,5,0.9171212929242651,171,0
Musical,112,164,27797,3,3,103,Stable,1,8,0.3812718029182356,163,0
Action,305,135,8953,11,4,335,Stable,3,3,0.9359545243118989,94,0
Animation,329,53,5829,6,8,272,Drop Fast,5,4,0.3729038056809839,222,0
Fantasy,496,151,6518,10,6,421,Stable,6,4,0.5610561634564819,132,0
Crime,350,64,501,7,13,470,Growing,6,6,0.46603014410078114,102,0
Biography,160,161,20351,9,4,647,Drop Fast,5,9,0.5532619947665308,149,1
Biography,166,182,20864,9,10,395,Drop Fast,6,3,0.42536731794786786,188,1
Horror,215,6,7706,8,3,499,Drop Fast,9,4,0.9257221886993493,223,1
Family,483,77,8901,6,8,157,Drop Fast,1,6,0.46400748885116416,166,0
Horror,188,188,7162,3,11,629,Growing,1,6,0.707292438444956,86,0
Sci-Fi,206,149,5629,11,7,647,Drop Fast,9,7,0.34621324271915194,118,0
Sci-Fi,232,192,16066,11,7,507,Growing,8,1,0.8270712393949186,183,1
Fantasy,98,114,7448,6,8,740,Drop Fast,9,9,0.6297555604566594,129,1
Mystery,296,168,20029,8,7,612,Drop Fast,7,2,0.935612287171921,127,1
Sport,443,65,2403,8,3,163,Stable,6,4,0.5463815517834045,128,0
Adventure,285,21,19418,3,12,673,Stable,9,3,0.38681351248366225,247,1
Documentary,245,53,25570,8,6,519,Growing,2,3,0.4922132996086885,246,1
War,192,80,2679,7,4,245,Stable,4,5,0.7658759242654459,161,0
Fantasy,218,192,26299,8,10,371,Drop Fast,2,7,0.7113745646971131,142,1
Adventure,139,152,21440,9,9,116,Growing,6,7,0.7948431853324076,209,1
Crime,162,182,10586,5,11,197,Stable,1,7,0.30142920454294636,191,0
Action,22,135,27304,2,12,551,Drop Fast,7,3,0.6562581427413505,233,1
War,131,47,634,9,3,342,Stable,7,9,0.9025180739254133,175,1
Sci-Fi,368,61,10430,9,2,578,Stable,7,6,0.3255313436371041,230,0
War,229,54,1906,4,5,300,Stable,4,8,0.31603468123908524,200,0
Horror,115,182,24844,4,5,572,Stable,8,1,0.7516230551636597,97,0
Action,384,41,5925,6,13,278,Drop Fast,5,4,0.4706277190909413,167,0
Documentary,79,50,18488,4,11,607,Stable,2,7,0.7110054472526348,147,1
Fantasy,204,174,23602,6,12,552,Growing,5,9,0.6317691591352519,139,1
Animation,195,19,4159,9,3,369,Growing,9,3,0.9402466608379338,209,0
Animation,108,165,14721,2,8,333,Stable,1,6,0.8723394918684118,173,0
Adventure,91,84,11343,3,14,723,Growing,2,8,0.7246509470931981,128,0
Adventure,84,143,7025,3,4,585,Stable,8,3,0.43317223827220536,245,0
Mystery,383,152,6547,5,8,677,Drop Fast,5,6,0.4333357135053286,238,0
Western,349,28,13041,10,8,437,Drop Fast,9,9,0.8675706603982621,247,1
Adventure,201,129,22740,3,2,547,Growing,6,9,0.659738745692775,159,0
Drama,334,196,2913,10,7,683,Growing,8,6,0.8024972474364716,206,1
Western,476,122,11761,8,5,456,Stable,1,5,0.564904944575781,132,0
Crime,223,84,22778,11,12,148,Stable,9,1,0.3221515456560686,143,1
Romance,324,98,12987,9,9,595,Stable,9,3,0.48288052076773824,112,0
Comedy,453,69,6712,2,9,445,Drop Fast,3,3,0.3628044360018542,137,0
Thriller,476,92,23451,6,4,392,Stable,1,4,0.7972829714978515,129,0
Musical,391,92,20311,10,5,788,Drop Fast,8,5,0.7403583927599631,143,1
Comedy,376,149,10796,5,2,772,Growing,8,8,0.31188904567162845,210,0
Sport,327,130,28101,3,11,249,Drop Fast,9,9,0.6849697791333139,204,1
Crime,153,93,20130,7,3,681,Growing,6,7,0.8618948548963568,140,1
Biography,393,65,15382,3,8,644,Drop Fast,9,6,0.7381550067799766,203,0
Documentary,225,19,18887,4,12,359,Drop Fast,9,3,0.607778339089095,217,1
Thriller,370,98,20265,9,13,421,Stable,4,9,0.4683042994572211,145,0
Western,333,55,24436,4,8,176,Growing,5,1,0.8709677247101268,109,0
Romance,24,31,3421,3,14,209,Drop Fast,6,9,0.5459634174987138,104,0
Action,226,78,20958,7,10,750,Drop Fast,6,3,0.8487755061636497,199,1
Sport,448,65,1282,4,11,646,Growing,2,9,0.7980998867527379,167,0
Crime,44,190,8837,2,10,522,Drop Fast,4,1,0.8213588756966017,89,0
Musical,192,35,13323,4,10,493,Growing,9,8,0.9428582641131523,173,1
Sport,279,16,13242,7,7,334,Growing,7,6,0.7741309611110752,205,1
Thriller,442,50,14333,4,9,429,Growing,9,9,0.27382865500305387,178,0
Sport,476,163,18176,10,10,424,Drop Fast,6,4,0.39380375448652144,167,1
Western,367,36,5808,8,13,250,Drop Fast,7,5,0.2746366052276152,99,0
Adventure,109,164,5726,6,8,645,Stable,9,6,0.38293949895918344,196,1
Sport,16,185,21763,3,5,735,Growing,4,9,0.2930076574802793,182,0
Western,39,65,6672,10,5,131,Drop Fast,9,6,0.601131928830377,178,1
Fantasy,476,50,2975,6,7,371,Drop Fast,3,9,0.2697443491931545,202,0
Sport,314,89,16028,8,12,735,Growing,8,2,0.5808053697306816,153,0
Thriller,482,84,12208,10,5,467,Growing,3,4,0.8791886349840083,234,1
Action,153,139,27829,5,12,591,Growing,3,3,0.7740032088023666,130,1
History,120,8,18174,10,8,415,Stable,3,4,0.9107691465562292,158,1
Documentary,241,56,22588,2,9,689,Stable,9,1,0.4086527416295643,244,0
Documentary,188,163,15255,7,9,687,Stable,3,2,0.6217600714837056,82,0
Sport,81,116,23814,3,9,671,Growing,6,4,0.47300561721608714,236,1
History,219,40,18815,9,3,696,Drop Fast,4,4,0.5956738569844238,159,0
Family,229,186,5318,6,11,467,Growing,2,5,0.6399530807090019,148,1
Fantasy,89,58,23038,4,3,179,Drop Fast,3,9,0.2753302913331056,100,0
Documentary,92,123,8160,3,3,271,Stable,5,1,0.4132792946504882,121,0
Musical,51,131,18145,9,3,357,Stable,4,8,0.7433409454707982,197,1
Action,282,21,12664,8,5,378,Stable,5,3,0.7910496171782097,100,0
War,200,79,20230,10,6,603,Drop Fast,1,9,0.6486159572412522,209,1
Documentary,182,162,7796,9,5,657,Drop Fast,4,8,0.4395803195640737,214,1
Animation,470,109,7440,5,6,590,Growing,3,8,0.533558881705918,114,0
Musical,16,154,5142,3,5,684,Growing,2,9,0.3172257683169692,109,0
Comedy,164,121,19822,3,8,665,Growing,7,4,0.9172257317548141,134,0
Sport,19,47,13736,3,11,436,Stable,9,5,0.8580742298472017,80,0
Musical,43,116,1800,7,2,620,Growing,1,7,0.2959216428352244,204,0
Romance,45,119,5900,8,14,425,Stable,7,2,0.3665434659608313,190,0
Documentary,418,31,6271,7,2,271,Drop Fast,1,7,0.6567661088321275,208,0
Horror,15,41,10448,3,3,183,Stable,5,3,0.41270105189045114,142,0
Action,417,50,12723,5,14,623,Stable,1,6,0.9040804886098898,165,1
Fantasy,411,117,17293,4,2,580,Stable,3,6,0.7789134066097522,156,0
Thriller,224,39,19555,5,13,643,Drop Fast,8,6,0.44130405903775793,201,1
Drama,143,136,27508,6,11,517,Drop Fast,4,2,0.2542709878333333,234,1
Mystery,294,84,17377,8,13,438,Growing,1,9,0.8096131738420822,94,0
Mystery,135,84,19683,10,13,419,Growing,1,8,0.5468627967207459,206,1
Documentary,418,158,11247,3,11,403,Growing,8,7,0.6996643983004439,216,1
War,448,125,22614,9,14,371,Drop Fast,8,9,0.45088237779490825,148,1
Comedy,346,151,5965,4,12,789,Drop Fast,4,4,0.3500112815507197,138,0
Action,183,126,226,10,4,213,Drop Fast,4,2,0.722718114250022,230,0
Musical,161,85,6893,11,7,506,Drop Fast,2,4,0.5652272117026613,187,0
Thriller,340,177,28043,5,11,125,Drop Fast,2,3,0.41461879074898667,192,0
Fantasy,35,158,21906,4,12,336,Stable,6,2,0.3463395996963422,186,0
Action,392,154,24860,11,7,409,Growing,8,2,0.6563357161091434,218,1
Drama,124,123,22535,7,2,783,Stable,7,8,0.757884958145302,103,1
Fantasy,391,62,19685,11,7,332,Growing,7,5,0.44872087348618067,151,1
Animation,491,67,6809,10,6,648,Stable,3,6,0.7645997747429867,190,1
Sci-Fi,293,160,9514,8,8,364,Drop Fast,2,8,0.37818553911294034,185,0
Drama,396,197,16458,5,7,112,Growing,7,7,0.48689098376657647,238,1
Documentary,84,176,5509,4,13,595,Stable,4,7,0.7714176007599688,229,1
Action,175,104,211,11,13,415,Growing,1,7,0.7121004637529555,93,0
Animation,198,175,24354,5,8,717,Drop Fast,1,7,0.43936653883273874,84,0
Fantasy,87,169,29884,4,3,737,Drop Fast,4,8,0.33549450108285317,206,1
Comedy,444,70,15589,4,13,483,Growing,5,1,0.27973139746306935,96,0
Drama,99,149,26524,10,2,741,Growing,5,3,0.8365406259434999,161,1
War,185,172,27885,5,8,415,Drop Fast,1,1,0.30259936469750204,150,0
War,30,170,26652,10,10,355,Drop Fast,3,8,0.3303916065444715,169,1
Crime,63,89,27395,11,3,540,Drop Fast,6,2,0.4163974411927336,158,1
Family,193,193,21997,6,13,214,Stable,7,7,0.5619687929678935,172,1
Horror,368,141,13871,8,8,398,Growing,1,6,0.8028509561655471,144,1
Western,231,193,5974,6,4,223,Drop Fast,8,1,0.4232362281587742,211,0
Sci-Fi,324,148,16763,2,7,355,Growing,4,6,0.6304557738518263,88,0
War,337,127,996,3,4,750,Stable,9,9,0.3132607654350302,115,0
Family,188,6,7479,6,14,146,Stable,6,3,0.5751577035955673,201,0
Musical,285,110,28589,7,11,562,Drop Fast,1,7,0.37434729536411576,239,1
Thriller,121,112,7388,8,14,449,Growing,2,4,0.3978340912233955,167,1
Mystery,233,76,23896,3,12,222,Stable,3,1,0.5067799038762506,200,0
Thriller,223,175,2224,11,12,130,Growing,2,7,0.7829433890906001,225,1
Action,68,130,7866,10,12,154,Growing,7,1,0.7707905009301642,222,1
Documentary,336,174,3417,7,6,252,Drop Fast,1,4,0.540481083539724,99,0
Family,402,61,6784,3,3,555,Stable,9,9,0.333069807934686,137,0
Documentary,118,85,25662,3,9,385,Stable,2,5,0.4464841340167624,119,0
Horror,394,199,27244,4,9,135,Stable,4,7,0.6037490435710967,145,1
Musical,166,162,28163,2,8,355,Growing,8,7,0.8585882450865862,168,1
Comedy,200,145,5485,10,7,277,Stable,3,3,0.9277782303693313,220,1
Action,209,23,7570,11,2,647,Stable,9,8,0.6962296545167395,92,1
Animation,321,11,18103,5,9,353,Growing,7,1,0.4954805433481809,141,0
Sci-Fi,205,141,23195,6,2,607,Stable,3,4,0.735417417586065,235,1
Western,44,58,7056,8,9,773,Stable,3,4,0.485361095074419,125,0
Crime,388,108,2632,2,12,120,Growing,5,2,0.6878314173916245,222,0
Mystery,396,90,23041,4,3,174,Stable,5,6,0.42063660018697363,172,0
Comedy,255,86,5066,4,9,559,Drop Fast,5,1,0.43689209086196457,102,0
Drama,246,65,13766,3,11,277,Growing,9,3,0.30265791232878614,180,0
Biography,113,91,5254,9,13,481,Stable,9,9,0.5440988065492225,146,1
Western,16,6,9308,6,5,136,Drop Fast,6,6,0.6827221640669674,193,0
Sci-Fi,292,182,18654,2,8,219,Growing,7,2,0.8021564606674347,145,0
Sci-Fi,10,35,28752,3,6,729,Stable,8,9,0.8172439813863855,129,1
Romance,228,37,1981,2,9,100,Growing,9,2,0.9447111146550147,220,0
Adventure,473,84,25114,7,13,410,Drop Fast,6,7,0.3114290080858733,81,0
Comedy,239,15,18100,10,7,307,Growing,8,1,0.5951957379120801,113,0
Biography,464,165,11262,8,6,253,Stable,2,5,0.6149622027816893,119,0
Drama,181,132,11974,6,2,782,Drop Fast,8,7,0.8131733984645245,148,0
Western,96,139,22075,4,4,414,Growing,2,3,0.43645096091219293,232,0
Biography,50,132,25690,9,11,406,Stable,8,4,0.2985606239576269,156,1
Sport,132,35,22533,11,10,603,Stable,2,5,0.46963116718789377,107,0
Mystery,340,180,16158,5,10,718,Drop Fast,3,3,0.9387494803449826,192,1
War,307,130,19874,10,6,754,Drop Fast,7,6,0.8796088384772104,135,1
Sport,382,51,21154,6,4,619,Growing,9,3,0.526672872662656,191,0
Musical,426,185,9838,7,7,705,Stable,3,8,0.8633903991215424,233,1
Documentary,187,111,1579,6,6,196,Drop Fast,5,7,0.2729281388816611,234,0
Sport,72,23,9875,11,2,589,Stable,9,1,0.46994285422494037,105,0
War,493,85,24254,8,3,106,Growing,7,2,0.7587682935912812,94,0
Adventure,174,127,10466,8,13,111,Drop Fast,2,4,0.4050165757117873,129,0
Fantasy,498,138,17384,2,6,613,Growing,5,5,0.3888736660411147,213,0
Comedy,196,111,15395,3,10,448,Growing,5,4,0.8532652821750614,147,0
History,392,53,26022,8,13,106,Drop Fast,9,4,0.6811677727537206,211,1
Thriller,218,77,29735,9,5,599,Growing,2,9,0.942315902818425,237,1
Adventure,236,54,11129,5,10,574,Stable,1,4,0.34426877339540396,156,0
Crime,441,85,5467,7,4,623,Drop Fast,4,4,0.4992898850632026,88,0
War,398,99,20079,11,2,156,Stable,4,4,0.4678493602625791,249,1
Horror,57,16,29610,4,7,689,Growing,1,2,0.8660925664032367,93,0
History,233,27,3457,8,11,685,Drop Fast,7,8,0.42870756403010746,119,0
Comedy,12,58,23142,4,8,332,Stable,2,4,0.497422698371919,210,0
Sci-Fi,381,122,12269,8,5,129,Stable,9,5,0.34998371297279923,248,1
Crime,184,63,1181,9,11,466,Stable,7,8,0.7927806878544309,112,1
Romance,455,168,10868,4,6,706,Stable,7,4,0.416392298771197,158,0
Musical,108,7,18672,3,5,155,Stable,1,5,0.2978241905625536,139,0
Mystery,125,62,19536,7,4,109,Growing,9,5,0.5545761128836276,143,0
Horror,279,187,25787,5,2,246,Growing,9,6,0.5240206867730742,141,1
Adventure,456,61,11856,9,14,463,Growing,2,7,0.37432644301376283,158,0
Romance,377,149,27526,3,7,698,Growing,9,3,0.34351829192721084,214,0
Comedy,262,171,18710,5,11,352,Growing,2,3,0.8775900493682826,155,1
Sport,326,94,21396,3,6,798,Growing,2,9,0.29749114058586135,129,0
Sci-Fi,424,59,8263,3,12,352,Growing,8,1,0.31951766968742396,118,0
Romance,104,49,20445,3,2,542,Stable,3,8,0.4215330967968842,184,0
Biography,282,5,22487,2,6,439,Growing,3,3,0.9169874327595515,149,0
Mystery,389,25,19175,5,7,615,Stable,7,5,0.3097689746638986,105,0
Romance,33,25,9865,3,11,452,Drop Fast,6,3,0.8212103787200175,137,0
Fantasy,125,56,27297,10,6,723,Growing,7,1,0.874436507323179,152,1
Comedy,160,86,25941,10,2,752,Stable,6,5,0.5145074190156198,131,1
Biography,347,175,19906,8,6,422,Drop Fast,9,8,0.45572607988228964,223,1
History,59,184,6637,7,11,239,Drop Fast,2,5,0.7241644097801856,127,0
Thriller,215,71,25385,4,2,544,Stable,8,4,0.741844220427156,106,0
Mystery,344,117,10575,8,12,194,Stable,6,9,0.7959840139769089,240,1
History,88,48,27307,2,4,652,Stable,4,1,0.8313967469302479,230,0
Sport,79,164,3061,10,13,519,Growing,6,5,0.437876819208638,179,1
War,36,14,13042,5,14,613,Drop Fast,6,1,0.7308731213206543,101,0
Comedy,280,68,18239,7,3,249,Growing,3,6,0.34443400699927285,121,0
Crime,59,73,18339,7,14,652,Growing,8,9,0.6075119320809075,188,1
Action,301,72,24821,4,2,450,Growing,5,2,0.6790208415588161,112,0
Documentary,256,32,26035,5,5,215,Drop Fast,4,4,0.36321235567358356,188,0
Horror,273,185,29943,11,3,731,Drop Fast,2,8,0.30355457780367856,217,1
Documentary,88,120,6427,4,6,336,Drop Fast,1,3,0.38632240039333504,126,0
Crime,396,55,21222,7,11,369,Stable,7,7,0.544412123496657,175,1
Fantasy,199,185,11624,2,2,390,Growing,3,7,0.8714886844707623,204,0
Crime,56,8,9843,9,13,533,Stable,3,2,0.6223400971743089,158,0
Horror,470,83,10510,9,11,108,Stable,3,4,0.7739450242137934,118,0
Sport,370,21,19151,10,2,729,Growing,3,1,0.37190116980401255,201,0
Thriller,363,112,26768,7,12,574,Drop Fast,2,8,0.3241847386386578,125,1
Fantasy,481,199,15433,2,11,621,Growing,6,9,0.41773215034256783,151,0
Drama,497,78,13400,4,5,636,Stable,3,1,0.46971628895325135,130,0
Comedy,361,179,19707,2,8,784,Drop Fast,1,7,0.6336714131755397,104,0
Animation,198,188,21748,6,3,110,Drop Fast,9,1,0.8668703242551085,161,1
Sci-Fi,425,27,10732,4,3,712,Stable,6,1,0.5482648317441559,222,0
Action,265,22,23665,3,2,426,Drop Fast,6,9,0.613158731491479,137,0
Horror,231,133,21491,4,6,694,Drop Fast,9,6,0.25322947518944444,105,0
Animation,381,39,9880,10,7,375,Growing,2,1,0.27331844402390065,120,0
Western,250,68,26349,9,14,469,Growing,9,7,0.3086384399492833,123,1
Documentary,278,190,21546,4,7,589,Stable,3,3,0.7392958598353201,164,0
Drama,10,63,10819,3,3,444,Stable,3,4,0.5903339581403422,101,0
Western,43,5,7350,6,13,467,Stable,3,4,0.38507283897230066,189,0
Crime,455,135,1966,2,13,410,Drop Fast,1,8,0.6648196070828734,116,0
Sport,88,71,3749,5,8,700,Stable,7,1,0.6312285062733253,197,0
History,245,41,18893,9,7,584,Growing,7,8,0.31215951126699704,180,1
Crime,343,33,29451,2,9,114,Drop Fast,2,9,0.6982889409020023,221,1
Comedy,386,93,27180,6,7,787,Stable,6,7,0.7870084108413571,83,0
Adventure,358,165,9834,5,10,103,Drop Fast,4,1,0.45058808539636785,103,0
Comedy,107,104,29569,7,11,475,Drop Fast,7,7,0.7312422033960153,144,1
Adventure,91,193,2176,8,3,468,Drop Fast,7,6,0.3898036619061488,145,0
Adventure,464,126,15760,10,8,564,Stable,4,5,0.7797101695982214,92,1
Fantasy,486,94,12365,2,6,632,Drop Fast,3,5,0.8882419183859042,106,0
Sport,424,136,23764,11,2,236,Drop Fast,7,1,0.5593069866611529,195,1
Action,201,18,2690,5,4,462,Drop Fast,9,6,0.4212354547481325,160,0
Crime,262,165,25501,7,5,315,Growing,4,4,0.5294236915383899,200,1
Fantasy,418,154,12195,11,13,467,Stable,6,1,0.42505423085900185,188,1
Mystery,47,180,20965,8,3,216,Growing,7,8,0.2508675630364628,224,1
Thriller,23,135,12219,8,8,278,Drop Fast,3,8,0.7053196282631116,148,1
Drama,401,89,22571,9,2,345,Drop Fast,5,4,0.27976864937353785,136,0
Drama,356,155,7625,11,4,227,Growing,1,7,0.3972735181520617,151,0
Musical,319,25,13057,9,13,457,Drop Fast,6,3,0.7557146892908747,187,1
Sci-Fi,395,175,20203,9,10,177,Growing,5,8,0.7160075097410483,152,1
Biography,218,30,27663,9,12,392,Drop Fast,7,7,0.30133023843231593,97,1
Biography,366,45,22644,9,3,181,Drop Fast,9,5,0.7120383187553538,95,1
Documentary,471,126,8889,7,6,441,Drop Fast,4,5,0.9014024227030478,175,1
Romance,98,42,4176,10,5,437,Drop Fast,9,9,0.3021517283127282,119,0
Comedy,65,92,14405,4,13,677,Stable,6,6,0.5409817593736453,118,0
Biography,103,15,904,7,4,195,Stable,5,6,0.760603723079899,135,0
Documentary,102,33,5652,6,6,244,Stable,2,2,0.7174061022245393,196,0
Sci-Fi,349,64,13049,9,7,676,Growing,1,5,0.4085573797286488,133,0
Biography,94,199,6294,5,2,620,Growing,8,4,0.3641470942476944,125,0
Sport,454,197,28903,5,3,496,Growing,6,3,0.7989729028286523,239,1
Sport,254,65,3881,11,2,456,Growing,7,9,0.9193712586671576,245,1
Mystery,31,151,20722,11,4,285,Stable,6,7,0.7873084272799804,122,1
Sport,300,178,18500,6,9,769,Growing,7,4,0.924243137538425,83,1
Animation,494,181,9766,7,9,642,Growing,9,9,0.6734967968959299,84,1
Biography,281,26,7701,5,5,250,Growing,5,9,0.9003692024843419,192,0
Family,315,82,2045,3,7,418,Drop Fast,1,7,0.7333049861814207,137,0
Documentary,131,117,21238,3,13,767,Growing,1,5,0.8862193251407606,116,0
Fantasy,137,189,6613,4,10,158,Drop Fast,9,9,0.36311227757871356,233,1
Sport,122,127,24695,3,8,109,Growing,5,7,0.8208956510207642,88,1
Sci-Fi,436,146,8190,2,3,223,Growing,2,9,0.38772206066741677,94,0
Family,282,48,9828,9,12,455,Drop Fast,3,3,0.26920037136217007,167,0
Romance,345,148,13430,6,3,445,Growing,1,9,0.612310293830074,178,0
Fantasy,451,101,19674,11,4,336,Drop Fast,6,1,0.472776246393291,184,0
Musical,139,81,17954,2,9,432,Growing,6,5,0.2804719532516125,233,0
Biography,141,144,18512,10,11,116,Growing,3,2,0.9362130651097115,184,1
Animation,94,59,1836,9,10,523,Drop Fast,3,1,0.7165262668429949,106,0
Adventure,432,55,22764,5,14,423,Stable,7,3,0.881268521250919,162,1
History,491,106,24867,9,4,122,Drop Fast,1,7,0.9493578101103637,238,1
Animation,359,171,18427,11,10,558,Stable,5,3,0.5243767156697644,111,0
Mystery,399,165,24960,8,13,559,Drop Fast,3,9,0.42831592011388064,209,1
Family,90,165,29599,8,13,620,Stable,5,3,0.37871907488078016,97,1
Thriller,496,33,29923,2,11,656,Growing,4,6,0.6106309754539399,107,0
Sport,482,73,26347,7,13,520,Stable,6,2,0.6742565442515103,150,1
Thriller,334,163,14907,5,9,502,Growing,9,8,0.5806959152227673,196,1
War,78,84,17415,11,6,430,Drop Fast,2,5,0.5210764103919776,179,1
Animation,157,35,29216,11,12,556,Stable,8,2,0.36779079442138984,167,1
Thriller,457,116,5738,11,11,582,Growing,2,7,0.5593017366674367,171,0
Adventure,25,50,21899,3,4,597,Drop Fast,4,3,0.30967019595534545,232,0
Documentary,316,101,10517,11,12,126,Stable,9,5,0.8555334312213143,118,1
Family,114,56,12654,8,8,496,Growing,4,9,0.28283185646857156,211,1
Fantasy,174,142,15649,10,10,287,Stable,7,1,0.5164522432120883,131,0
Musical,497,78,8655,6,13,239,Stable,5,2,0.32009650833007797,201,0
Musical,210,45,21911,9,7,620,Growing,2,5,0.7924863496269547,147,0
Western,206,81,15259,6,4,191,Growing,8,4,0.46891588517954874,136,0
Thriller,435,135,15830,8,6,176,Drop Fast,2,1,0.32917392885678837,92,0
Drama,194,191,1486,8,8,343,Growing,3,7,0.6220439092051597,142,0
Musical,331,118,1729,10,9,766,Growing,7,9,0.8913939050606781,150,1
Mystery,274,56,10200,4,14,761,Stable,5,1,0.8860514097834423,232,1
Thriller,372,166,6855,2,13,187,Growing,3,8,0.4247557287929529,102,0
Sport,109,181,2077,3,5,717,Stable,2,9,0.7537617731721634,109,0
War,351,160,10141,7,3,393,Stable,6,2,0.2711989349886939,192,0
Drama,329,91,26685,11,11,194,Growing,1,1,0.34229625755239723,214,0
Biography,223,113,27399,11,3,352,Growing,8,6,0.5996306592196456,133,1
History,287,145,22015,10,13,650,Growing,5,7,0.41012950414184646,188,1
Comedy,171,73,25973,4,4,498,Growing,5,2,0.8087832977720966,224,1
Drama,448,124,19062,11,9,153,Drop Fast,2,5,0.9017505204368629,176,1
Sci-Fi,166,71,13255,3,2,342,Stable,7,5,0.25303332153794755,139,0
Crime,431,65,27286,2,8,209,Drop Fast,5,7,0.41304108072068585,145,0
Fantasy,260,192,16684,3,7,723,Drop Fast,8,1,0.557687342253359,245,0
Biography,375,75,3287,4,3,785,Stable,5,8,0.6441555018466719,220,0
Thriller,106,156,6028,8,10,320,Drop Fast,9,5,0.8911319443144707,131,1
Animation,27,195,24009,3,14,663,Growing,5,3,0.8743184433607054,111,1
Sport,336,193,26695,6,13,261,Growing,3,9,0.6960190696275761,88,1
Horror,458,155,18875,3,6,134,Growing,2,3,0.43017160985871916,96,0
History,392,34,22051,8,3,136,Growing,5,7,0.7983014669148529,205,1
Musical,106,192,28096,11,4,722,Stable,5,7,0.3918562399010622,161,1
Action,10,150,24880,9,8,469,Growing,6,8,0.9256206268677717,119,1
Family,225,100,17277,9,8,276,Stable,2,8,0.2540879410137986,183,0
History,141,60,22370,9,11,620,Stable,5,4,0.6488393527355311,207,1
Mystery,269,57,5606,11,2,374,Stable,1,1,0.3118780728451394,235,0
Biography,134,11,11632,10,11,732,Stable,3,4,0.5353196711274149,97,0
